match_id,season,date,n_nodes,n_edges,total_passes,density,weighted_clustering,aspl_weighted,aspl_unweighted,scc_size,strongly_connected,algebraic_connectivity,spectral_radius,windeg_mean,windeg_var,windeg_skew,windeg_gini,woutdeg_mean,woutdeg_var,woutdeg_skew,woutdeg_gini,betw_mean,betw_var,betw_skew,betw_gini,eig_mean,eig_var,eig_skew,eig_gini,pagerank_mean,pagerank_var,pagerank_skew,pagerank_gini,triad_003,triad_012,triad_102,triad_021D,triad_021U,triad_021C,triad_111D,triad_111U,triad_030T,triad_030C,triad_201,triad_120D,triad_120U,triad_120C,triad_210,triad_300,team,competition
7525,WC2018,2018-06-14,11,48,70,0.43636363636363634,0.11352158218284236,1.1854545454545455,1.6363636363636365,11,1,5.339056252499405,6.387056006231785,6.363636363636363,1.1404958677685948,0.1332401526405008,0.09350649350649354,6.363636363636363,5.867768595041323,-0.006025836285538442,0.21558441558441577,0.09208754208754209,0.004326656010157693,0.2935677395238029,0.4031909589496432,0.29471570413165066,0.004051744647276269,0.30661729927363385,0.12174798472886339,0.09090909090909093,0.0006164222607574217,0.41113890209486936,0.1528073474540712,0.05454545454545454,0.15151515151515152,0.1393939393939394,0.030303030303030304,0.01818181818181818,0.07878787878787878,0.1393939393939394,0.10303030303030303,0.024242424242424242,0.0,0.08484848484848485,0.012121212121212121,0.03636363636363636,0.048484848484848485,0.06666666666666667,0.012121212121212121,Russia,WC2018
7525,WC2018,2018-06-14,11,43,74,0.39090909090909093,0.14631472564725556,1.2536363636363637,1.7636363636363637,11,1,1.9543504590175789,8.647512569588836,6.7272727272727275,8.380165289256198,-0.0425529624561791,0.23587223587223605,6.7272727272727275,19.65289256198347,0.37574197995558495,0.3611793611793612,0.10252525252525255,0.012841546780940726,0.933375300516567,0.5902373488580384,0.2547325271643484,0.026020430513555428,0.40265824298652614,0.3534875704316436,0.09090909090909091,0.0010253773249418393,-0.5722223007159245,0.1949170282162187,0.12121212121212122,0.18787878787878787,0.18787878787878787,0.01818181818181818,0.030303030303030304,0.04242424242424243,0.048484848484848485,0.11515151515151516,0.0,0.006060606060606061,0.10303030303030303,0.0,0.024242424242424242,0.024242424242424242,0.06060606060606061,0.030303030303030304,Saudi Arabia,WC2018
7578,WC2018,2018-06-15,11,65,175,0.5909090909090909,0.22656514814899892,0.6617099567099567,1.4272727272727272,11,1,6.360695156449302,19.374450914905708,15.909090909090908,52.62809917355373,-0.45553331945550235,0.2503896103896104,15.909090909090908,61.90082644628098,-0.3272775499544742,0.27636363636363637,0.08737373737373738,0.006375369860218346,0.49337457972032195,0.51077246452969,0.2681252245168373,0.01901795488688654,-0.22799861213939643,0.28965741584859184,0.09090909090909091,0.0010186703396900016,-0.7341016300180909,0.19164473588369124,0.030303030303030304,0.06060606060606061,0.15757575757575756,0.0,0.006060606060606061,0.024242424242424242,0.12727272727272726,0.06666666666666667,0.012121212121212121,0.0,0.17575757575757575,0.01818181818181818,0.024242424242424242,0.012121212121212121,0.1393939393939394,0.14545454545454545,Egypt,WC2018
7577,WC2018,2018-06-15,11,52,92,0.4727272727272727,0.2230092106794313,0.9583333333333333,1.6,11,1,4.2020289030401115,8.610094255429047,8.363636363636363,7.322314049586779,0.1358235253909667,0.1758893280632412,8.363636363636363,9.685950413223141,0.23896627168861037,0.18972332015810278,0.09057239057239058,0.003429638698998969,0.030351964540234685,0.3666779317336937,0.2887547787304622,0.007529768669412731,-0.9302585369907881,0.15538506028612575,0.09090909090909091,0.0010318011789199764,0.13860787502922065,0.1942099918629563,0.07878787878787878,0.10303030303030303,0.23636363636363636,0.012121212121212121,0.006060606060606061,0.0,0.07878787878787878,0.12727272727272726,0.006060606060606061,0.0,0.1696969696969697,0.012121212121212121,0.006060606060606061,0.030303030303030304,0.08484848484848485,0.048484848484848485,Iran,WC2018
7577,WC2018,2018-06-15,11,82,290,0.7454545454545455,0.120372001352129,0.43836940836940835,1.2636363636363637,11,1,10.732507534996063,32.230282850360425,26.363636363636363,126.9586776859504,-0.6746460646675355,0.23197492163009414,26.363636363636363,230.23140495867773,0.6280095951501131,0.3090909090909091,0.08989898989898991,0.016794714825017855,1.8651492520107622,0.6567926455566906,0.268876387163631,0.018614579334924122,0.32131306533359516,0.27564893498053356,0.09090909090909093,0.0010584313610904716,-1.0269682990060465,0.1883249931651214,0.012121212121212121,0.01818181818181818,0.06060606060606061,0.0,0.006060606060606061,0.006060606060606061,0.048484848484848485,0.06666666666666667,0.012121212121212121,0.006060606060606061,0.11515151515151516,0.006060606060606061,0.048484848484848485,0.048484848484848485,0.23636363636363636,0.3090909090909091,Morocco,WC2018
7576,WC2018,2018-06-15,11,76,213,0.6909090909090909,0.1784424682824034,0.43472222222222223,1.309090909090909,11,1,16.859411242356273,21.720537508107338,19.363636363636363,54.77685950413224,0.3807915943220344,0.21510883482714482,19.363636363636363,48.95867768595042,0.2542221094893713,0.20401195049082377,0.09242424242424244,0.009670441791653914,0.7610339185154554,0.5742672627918528,0.28381005238652085,0.010360945073451215,0.14703551097280484,0.20273525638920176,0.09090909090909091,0.000986715827162339,0.4142952456804236,0.19328996276191956,0.006060606060606061,0.01818181818181818,0.07272727272727272,0.01818181818181818,0.0,0.024242424242424242,0.08484848484848485,0.04242424242424243,0.030303030303030304,0.006060606060606061,0.12121212121212122,0.06060606060606061,0.01818181818181818,0.06666666666666667,0.24242424242424243,0.18787878787878787,Portugal,WC2018
7576,WC2018,2018-06-15,11,89,521,0.8090909090909091,0.13636320734767468,0.22194838603911157,1.190909090909091,11,1,20.03610934127413,59.281408052702936,47.36363636363637,531.8677685950413,-0.05003411151641626,0.2767405339382307,47.36363636363637,569.685950413223,0.13090308265149964,0.28092828476705645,0.09898989898989898,0.011839608203244567,1.4809098560035492,0.5473098330241186,0.2625361593943466,0.021983855919557135,0.23291185220747085,0.3169965963506194,0.09090909090909091,0.0014129438845652226,-0.05228350559127321,0.23465177921559266,0.006060606060606061,0.0,0.030303030303030304,0.0,0.0,0.0,0.07878787878787878,0.04242424242424243,0.006060606060606061,0.0,0.12727272727272726,0.006060606060606061,0.024242424242424242,0.024242424242424242,0.24242424242424243,0.4121212121212121,Spain,WC2018
7578,WC2018,2018-06-15,11,75,253,0.6818181818181818,0.21855176521395236,0.42537518037518035,1.3181818181818181,11,1,12.999014417330384,27.598850280067445,23.0,95.81818181818181,0.02558817740958288,0.23931009701760697,23.0,137.45454545454547,0.35945491223131393,0.28889687387711116,0.09090909090909091,0.009990307111519235,1.085866330539176,0.5808080808080809,0.27306294072753007,0.016345721310324326,0.061323779302004784,0.2673308082940373,0.09090909090909091,0.000977244982700322,-0.1794281892728138,0.19015086606080467,0.012121212121212121,0.024242424242424242,0.08484848484848485,0.006060606060606061,0.0,0.024242424242424242,0.07272727272727272,0.11515151515151516,0.0,0.0,0.18181818181818182,0.012121212121212121,0.030303030303030304,0.03636363636363636,0.1696969696969697,0.23030303030303031,Uruguay,WC2018
7531,WC2018,2018-06-16,11,86,413,0.7818181818181819,0.2012158676419454,0.26717142779977004,1.2181818181818183,11,1,16.92026867441319,43.957056448931404,37.54545454545455,256.2479338842975,0.15384587439129488,0.22892361875412726,37.54545454545455,329.88429752066116,0.8995373043778994,0.2566585956416465,0.08888888888888889,0.015151515151515155,2.0540778583573385,0.6342975206611572,0.27899835466878115,0.013069009001203911,0.12134094122535559,0.22446385577050343,0.09090909090909093,0.0011187030386006253,0.1306705110144969,0.19779499628834496,0.006060606060606061,0.0,0.048484848484848485,0.0,0.006060606060606061,0.012121212121212121,0.07878787878787878,0.024242424242424242,0.0,0.0,0.14545454545454545,0.024242424242424242,0.03636363636363636,0.030303030303030304,0.22424242424242424,0.36363636363636365,Argentina,WC2018
7530,WC2018,2018-06-16,11,59,216,0.5363636363636364,0.1268879511099269,0.6429632362586909,1.509090909090909,11,1,5.066626238525533,28.680195906892695,19.636363636363637,143.14049586776858,0.4655579774509426,0.3417508417508419,19.636363636363637,194.23140495867767,0.39512213203974217,0.3973063973063975,0.11043771043771043,0.015534525955401375,0.8857211716930476,0.6019955654101996,0.24324389327760176,0.031741499292245595,0.31462738816416386,0.41199969910716705,0.09090909090909088,0.0017306794217880623,0.2173243093851532,0.26014670894630365,0.03636363636363636,0.09696969696969697,0.13333333333333333,0.01818181818181818,0.024242424242424242,0.06060606060606061,0.07272727272727272,0.1393939393939394,0.006060606060606061,0.006060606060606061,0.09696969696969697,0.006060606060606061,0.006060606060606061,0.04242424242424243,0.15757575757575756,0.09696969696969697,Australia,WC2018
