ego_degree,ego_density,ego_clustering,win_deg,wout_deg,deg_ratio,relay_mid,source_2,sink_2,mean_x,mean_y,disp_x,disp_y,disp_radial,player_id,team,name,appearances,primary_position,line
9.271929824561404,0.7605573276625909,0.19003098605396,34.80994152046784,39.833333333333336,0.5388248536137918,0.3680873170962794,0.3203948772851671,0.3115178056185535,58.466979105077705,40.53891685085958,17.633011414174568,15.345028462658977,20.79453681318038,5203,Barcelona,Sergio Busquets,342,Center Defensive Midfield,MID
8.714932126696832,0.7637920902626785,0.18072708087335249,35.425339366515836,35.574660633484164,0.5020416789273019,0.33821470044243185,0.32450337712315275,0.3372819224344154,64.89545198968347,11.402371590136287,25.650125411924044,9.410251542343039,23.464688648579376,5211,Barcelona,Jordi Alba,221,Left Back,DEF
8.915625,0.75578970508658,0.17692812373780079,29.096875,35.134375,0.5501019749429326,0.34380338714534575,0.35060627982541115,0.3055903330292432,44.3503712246449,51.101183828965624,17.9138189692033,12.09477862704438,18.862406486262728,5213,Barcelona,Gerard Piqué,320,Right Center Back,DEF
7.682352941176471,0.7950481707834648,0.1374077740857999,17.81764705882353,11.770588235294118,0.3916105404081231,0.26904166641135435,0.2988023546689349,0.4203912730373578,82.71815395306777,38.31970454166236,19.566713819692968,19.347378806155007,25.06611233500817,5246,Barcelona,Luis Suárez,170,Center Forward,FWD
8.926666666666666,0.7756017316017316,0.17969943371435473,35.08,36.32666666666667,0.5078440555669848,0.3450841731531186,0.3312227785009656,0.3236930483459158,65.51245985387024,49.55542918273108,21.25303455307246,16.717328143887208,23.5626184142485,5470,Barcelona,Ivan Rakitić,150,Right Center Midfield,MID
8.042553191489361,0.825085966043413,0.17223887274402871,29.80851063829787,22.72340425531915,0.4232765446866567,0.2950701469568939,0.3476626515900291,0.35726720145307683,84.00191314170156,46.5849030065499,20.79491277575951,16.507369519530798,23.279905282300113,5477,Barcelona,Ousmane Dembélé,47,Right Wing,FWD
8.575342465753424,0.7675902864259029,0.1781673297552815,33.013698630136986,38.726027397260275,0.5434281662751684,0.33417158763647326,0.34627997402700456,0.31954843833652224,45.041308658796346,26.705868017868838,18.682253843350622,11.243749588664862,19.302929147010907,5492,Barcelona,Samuel Umtiti,73,Left Center Back,DEF
8.295896328293736,0.8039201798921023,0.19094950914529946,32.295896328293736,24.937365010799137,0.4338509722149172,0.32025840971288544,0.32161280335539416,0.3559689597178975,79.85329061717157,49.12185994979353,17.06435743530814,17.921774949777593,21.89998718861581,5503,Barcelona,Lionel Messi,463,Right Wing,FWD
8.535714285714286,0.7860731034838179,0.18279596514573834,31.571428571428573,31.053571428571427,0.4948787580764448,0.31600074281998486,0.33094939776066207,0.3530498594193531,64.05428615050508,65.84718436925144,24.83805550979176,9.57604289664937,23.09589490159804,6374,Barcelona,Nélson Semedo,56,Right Back,DEF
8.637096774193548,0.7590932365125915,0.1779743539689136,32.87903225806452,33.846774193548384,0.5080940318722462,0.3327093885102429,0.32940093593616965,0.32982515942455515,66.50726521311329,61.62124373047362,23.709707542919038,11.742503229109065,23.35205588974822,6379,Barcelona,Sergi Roberto,124,Right Back,DEF
6.375757575757576,0.8022491145218417,0.15114997134494026,11.484848484848484,13.703030303030303,0.5613911318514413,0.2156075829636593,0.4631898266885637,0.315141984287171,11.229921744108236,40.12194462967433,6.622692937869733,7.183769140509466,8.20796704647448,20055,Barcelona,Marc-André ter Stegen,165,Goalkeeper,GK
8.476190476190476,0.785585446299732,0.18042633002248773,32.642857142857146,29.023809523809526,0.46608540976554397,0.32350605382358927,0.3404717806834156,0.3360221654929951,78.5810983019762,25.607065418961643,20.860321122487942,14.921376720545801,21.877630752427866,3501,Barcelona,Philippe Coutinho,42,Left Wing,FWD
8.74074074074074,0.7714873603762492,0.14884022734291072,26.14814814814815,26.11111111111111,0.49537191083811377,0.3269494778731015,0.33711538266009816,0.3359351394668003,70.58032608494075,44.46157858943109,20.05300942902751,15.761142636586179,22.578202973500364,6998,Barcelona,Rafinha,27,Right Center Midfield,MID
