match_id,season,date,n_nodes,n_edges,total_passes,density,weighted_clustering,aspl_weighted,aspl_unweighted,scc_size,strongly_connected,algebraic_connectivity,spectral_radius,windeg_mean,windeg_var,windeg_skew,windeg_gini,woutdeg_mean,woutdeg_var,woutdeg_skew,woutdeg_gini,betw_mean,betw_var,betw_skew,betw_gini,eig_mean,eig_var,eig_skew,eig_gini,pagerank_mean,pagerank_var,pagerank_skew,pagerank_gini,triad_003,triad_012,triad_102,triad_021D,triad_021U,triad_021C,triad_111D,triad_111U,triad_030T,triad_030C,triad_201,triad_120D,triad_120U,triad_120C,triad_210,triad_300,coach,team,competition,source
68317,2005/2006,2005-10-01 00:00:00,11,81,253,0.7363636363636363,0.2182613313228493,0.4153571428571428,1.2636363636363637,11,1,16.509808312665385,24.88714633344563,23.0,54.0,-0.922338730307246,0.1731943945382681,23.0,87.0909090909091,0.2858965590981855,0.227811713977722,0.0818181818181818,0.0071385572900724,0.7028463878099298,0.5510662177328844,0.2866087535883509,0.0087645132756228,-0.2242323501142289,0.1845735688416039,0.0909090909090909,0.0006591192523621,-0.9204283606158356,0.1476427438864345,0.0,0.0,0.1151515151515151,0.0,0.006060606060606,0.006060606060606,0.0787878787878787,0.0606060606060606,0.0,0.0,0.1636363636363636,0.0121212121212121,0.006060606060606,0.0242424242424242,0.2424242424242424,0.2848484848484848,Rijkaard,Barcelona,LaLiga,barca
68318,2005/2006,2005-10-22 00:00:00,11,56,125,0.509090909090909,0.1347406892185847,0.7929292929292928,1.5363636363636364,11,1,3.1362286020874146,14.895622175035076,11.363636363636363,26.958677685950416,-0.0402886416335588,0.2603636363636363,11.363636363636363,57.14049586776859,0.9020314931328264,0.3563636363636364,0.0932659932659932,0.0120041605731841,1.2852421309733688,0.5874630784378081,0.2545926358812556,0.0260916806641252,0.5813908410298501,0.3493024400418574,0.0909090909090909,0.0010761991640395,-0.3809787567197903,0.2008409029649467,0.0606060606060606,0.0969696969696969,0.1939393939393939,0.0121212121212121,0.0,0.0424242424242424,0.0666666666666666,0.0787878787878787,0.0181818181818181,0.0,0.1818181818181818,0.006060606060606,0.0242424242424242,0.0303030303030303,0.1272727272727272,0.0606060606060606,Rijkaard,Barcelona,LaLiga,barca
69164,2005/2006,2005-10-26 00:00:00,11,79,225,0.7181818181818181,0.1361283293850611,0.4402380952380952,1.2818181818181815,11,1,16.307398497953475,22.687890998204946,20.454545454545453,51.52066115702478,0.1930152812922694,0.1971717171717173,20.454545454545453,65.70247933884296,0.5278791640422082,0.2173737373737374,0.0924242424242424,0.0093000714212835,0.9267658778985064,0.5573770491803283,0.2809453750568767,0.0119787871432417,1.0039150755513468,0.2041736220480012,0.0909090909090909,0.0006239924283434,-0.5092837113273995,0.1530089582094571,0.0,0.0484848484848484,0.0848484848484848,0.0,0.0,0.0,0.0242424242424242,0.1151515151515151,0.0,0.0,0.1393939393939394,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.2303030303030303,0.2666666666666666,Rijkaard,Barcelona,LaLiga,barca
68339,2005/2006,2005-11-06 00:00:00,11,79,334,0.7181818181818181,0.1517091003022398,0.3389678629451356,1.2818181818181815,11,1,14.536883962570164,39.4564565705121,30.363636363636363,236.41322314049583,0.0709388844692873,0.2857920522591182,30.363636363636363,275.8677685950413,0.3242568727017182,0.3059335873707132,0.0878787878787878,0.012310988674625,1.4607128775414011,0.626959247648903,0.2577520410670786,0.0244729762348459,0.2999243836081797,0.3348446610696067,0.0909090909090909,0.0012399965704984,-0.1449268668022202,0.2195695347312296,0.0,0.0181818181818181,0.0787878787878787,0.0,0.0,0.0363636363636363,0.0787878787878787,0.0666666666666666,0.006060606060606,0.0,0.1696969696969697,0.0363636363636363,0.0181818181818181,0.0484848484848484,0.1393939393939394,0.303030303030303,Rijkaard,Barcelona,LaLiga,barca
68319,2005/2006,2005-11-19 00:00:00,11,74,195,0.6727272727272727,0.1481440248636521,0.5668804932441296,1.3272727272727274,11,1,7.290658432930765,20.121457558252075,17.727272727272727,76.01652892561984,0.0687709862940372,0.276923076923077,17.727272727272727,52.56198347107438,-0.277141008028756,0.2275058275058274,0.0919191919191919,0.0100188756249362,0.9147178919102088,0.5814185814185817,0.2771332159588806,0.0141062715213793,-0.1959333221855692,0.2408803193222071,0.0909090909090909,0.0017495222627438,0.3758321308725015,0.2559506203568915,0.0,0.0242424242424242,0.0666666666666666,0.006060606060606,0.0181818181818181,0.0484848484848484,0.0909090909090909,0.0909090909090909,0.0181818181818181,0.006060606060606,0.0545454545454545,0.0606060606060606,0.0242424242424242,0.0545454545454545,0.2787878787878788,0.1575757575757575,Rijkaard,Barcelona,LaLiga,barca
68354,2005/2006,2005-11-27 00:00:00,11,82,345,0.7454545454545455,0.2050714152599194,0.3468739341466614,1.2545454545454546,11,1,14.122700874947576,34.78143504426807,31.363636363636363,147.50413223140498,-0.6367890204403321,0.2044795783926218,31.363636363636363,152.41322314049586,0.1825551945587367,0.2202898550724639,0.0744107744107744,0.0088426351052613,1.2624507548824175,0.6359522830111064,0.2856909178538365,0.0092897903649233,-0.7560914763495836,0.1758743761698207,0.0909090909090909,0.0010668571405472,-0.2573057392720068,0.191236085303265,0.0121212121212121,0.0121212121212121,0.1272727272727272,0.006060606060606,0.0,0.0,0.0181818181818181,0.0606060606060606,0.0,0.0,0.1454545454545454,0.0121212121212121,0.0121212121212121,0.0242424242424242,0.2363636363636363,0.3333333333333333,Rijkaard,Barcelona,LaLiga,barca
68320,2005/2006,2005-12-04 00:00:00,11,71,227,0.6454545454545455,0.1345816532120538,0.5056854256854257,1.3636363636363635,11,1,10.11368578851138,25.860867623707584,20.636363636363637,125.3223140495868,0.1197732653582135,0.3051661994393273,20.636363636363637,105.6859504132231,0.3287282024305188,0.2787344813776533,0.1065656565656565,0.013685848382818,0.7638447206856952,0.5876777251184835,0.2668408041144065,0.0197050761686678,0.0894245959463286,0.2939713941398505,0.0909090909090909,0.0018029243805213,0.1038348942479903,0.2636155168748224,0.0,0.0121212121212121,0.0787878787878787,0.0121212121212121,0.0242424242424242,0.0303030303030303,0.0848484848484848,0.1212121212121212,0.0303030303030303,0.0181818181818181,0.0909090909090909,0.0363636363636363,0.0545454545454545,0.0909090909090909,0.1757575757575757,0.1393939393939394,Rijkaard,Barcelona,LaLiga,barca
68321,2005/2006,2005-12-11 00:00:00,11,82,342,0.7454545454545455,0.1256513891942038,0.326262726074979,1.2545454545454546,11,1,18.177419418823646,36.465537186395295,31.09090909090909,164.6280991735537,-0.2210812196154384,0.2312599681020735,31.09090909090909,207.53719008264463,0.3074799518655431,0.2615629984051038,0.0882154882154882,0.0091808658980376,0.6417472590093568,0.5853573907009022,0.2732692125878434,0.0162330283607109,0.3825440217465685,0.2611613864884132,0.0909090909090909,0.0009570086346469,-0.3370738824348995,0.1899333521076867,0.0,0.0181818181818181,0.0969696969696969,0.0,0.0121212121212121,0.0181818181818181,0.0606060606060606,0.0242424242424242,0.0,0.0,0.1454545454545454,0.0121212121212121,0.0121212121212121,0.0363636363636363,0.2606060606060606,0.303030303030303,Rijkaard,Barcelona,LaLiga,barca
68322,2005/2006,2005-12-17 00:00:00,11,75,179,0.6818181818181818,0.1610401009546241,0.5475,1.318181818181818,11,1,12.241922662369516,18.057181808638873,16.272727272727273,37.47107438016528,-0.0089028115121354,0.2143219908583038,16.272727272727273,32.92561983471075,-0.1094939979539471,0.1980700863382427,0.0930976430976431,0.0086463966261946,0.6771366603847067,0.5464409008712805,0.2829728966276835,0.0108354306832292,-0.0152080501203023,0.2082145779256714,0.0909090909090909,0.0008073133239057,-0.0505083128877879,0.1781645284913926,0.0,0.0121212121212121,0.0484848484848484,0.0181818181818181,0.006060606060606,0.0424242424242424,0.109090909090909,0.103030303030303,0.0121212121212121,0.006060606060606,0.0909090909090909,0.0242424242424242,0.0424242424242424,0.0848484848484848,0.2121212121212121,0.1878787878787878,Rijkaard,Barcelona,LaLiga,barca
68323,2005/2006,2005-12-20 00:00:00,11,78,311,0.7090909090909091,0.183399519215883,0.3765151515151514,1.290909090909091,11,1,10.436682253876024,32.092305617078466,28.272727272727273,151.1074380165289,-0.3876760630572936,0.2420344928383515,28.272727272727273,158.5619834710744,-0.4596043177560287,0.2461268634902076,0.0797979797979798,0.0100576471788592,1.032291945212826,0.6363636363636365,0.2802880295021754,0.0123477114268785,-0.5465495265092409,0.2191486143444454,0.0909090909090909,0.0012219157566434,-0.4072430330509978,0.2159920113918509,0.0,0.0424242424242424,0.0727272727272727,0.0,0.006060606060606,0.0181818181818181,0.0666666666666666,0.0969696969696969,0.0121212121212121,0.0,0.1272727272727272,0.0242424242424242,0.0181818181818181,0.0424242424242424,0.1939393939393939,0.2787878787878788,Rijkaard,Barcelona,LaLiga,barca
68348,2005/2006,2006-01-07 00:00:00,11,67,229,0.6090909090909091,0.1582399100825743,0.4208372687918142,1.4,11,1,14.570211679489606,22.20723578253689,20.818181818181817,50.69421487603306,-0.5495135413440271,0.1913457721317983,20.818181818181817,45.239669421487605,0.2938355712897993,0.1826121476776498,0.1156565656565656,0.0046398326701356,0.0529737422476534,0.3358475585549825,0.2837498651367538,0.0103951049439648,-0.4505888669564541,0.1992601897282186,0.0909090909090909,0.0009739162109956,-0.2853319837466381,0.1903696572549946,0.0,0.0424242424242424,0.1272727272727272,0.0121212121212121,0.006060606060606,0.0484848484848484,0.1151515151515151,0.1212121212121212,0.006060606060606,0.0,0.1212121212121212,0.0303030303030303,0.0303030303030303,0.0363636363636363,0.1939393939393939,0.109090909090909,Rijkaard,Barcelona,LaLiga,barca
68342,2005/2006,2006-01-15 00:00:00,11,79,256,0.7181818181818181,0.2218335750917183,0.4349963924963925,1.2818181818181815,11,1,12.535835043731856,25.414530215218736,23.272727272727273,69.65289256198346,-0.8914171633775296,0.192471590909091,23.272727272727273,136.0165289256198,0.7332421971897094,0.2691761363636364,0.0818181818181818,0.0083464697479848,1.0256050017093743,0.5892255892255889,0.2827636403270205,0.0109538146181023,0.0825392080178051,0.2037755963709986,0.0909090909090909,0.000737382776765,-1.2008401996097726,0.1487095467065775,0.006060606060606,0.0363636363636363,0.0606060606060606,0.006060606060606,0.006060606060606,0.006060606060606,0.0484848484848484,0.0909090909090909,0.006060606060606,0.0,0.1212121212121212,0.0121212121212121,0.0484848484848484,0.0606060606060606,0.2363636363636363,0.2545454545454545,Rijkaard,Barcelona,LaLiga,barca
68324,2005/2006,2006-01-22 00:00:00,11,78,275,0.7090909090909091,0.1976187606770019,0.3922619047619047,1.3,11,1,12.460452095633697,27.981582019750203,25.0,131.63636363636363,0.0400883082316352,0.2485950413223141,25.0,101.0909090909091,0.3091098863974819,0.2234710743801653,0.0888888888888888,0.0093995510662177,1.4045111269301425,0.5495867768595044,0.2816028537828485,0.0116089236504465,-0.0866800325275613,0.2126592825580269,0.0909090909090909,0.0013882830852812,-0.1013316620227827,0.2294318555567169,0.0121212121212121,0.0121212121212121,0.0666666666666666,0.006060606060606,0.0,0.0121212121212121,0.109090909090909,0.0848484848484848,0.006060606060606,0.0,0.1393939393939394,0.0666666666666666,0.0303030303030303,0.0,0.2,0.2545454545454545,Rijkaard,Barcelona,LaLiga,barca
68325,2005/2006,2006-01-29 00:00:00,11,80,266,0.7272727272727273,0.1474742543759258,0.4589898989898989,1.2727272727272727,11,1,11.434592733793156,25.96738840221699,24.181818181818183,86.1487603305785,-0.5285541075776056,0.2057416267942584,24.181818181818183,77.60330578512396,-0.5292194337812786,0.2016404647983596,0.0863636363636363,0.0053443526170798,0.4931901514932927,0.4710260499734184,0.2866097823385755,0.0087639235769252,-0.9585494778696658,0.1743715386179267,0.0909090909090909,0.0010264374089432,-0.2500351476099383,0.1867884378531275,0.0,0.0242424242424242,0.0666666666666666,0.006060606060606,0.0,0.006060606060606,0.0787878787878787,0.0666666666666666,0.0181818181818181,0.0,0.0969696969696969,0.0303030303030303,0.0424242424242424,0.0424242424242424,0.2848484848484848,0.2363636363636363,Rijkaard,Barcelona,LaLiga,barca
68350,2005/2006,2006-02-05 00:00:00,11,68,153,0.6181818181818182,0.1913350369189241,0.70504329004329,1.4,11,1,6.9722360385656845,15.25524111455334,13.909090909090908,28.62809917355372,-0.7579594632773254,0.2020202020202022,13.909090909090908,34.08264462809917,-0.5458611319630369,0.2341057635175283,0.0949494949494949,0.0057769615345372,0.3262354120487152,0.4545454545454546,0.281689363642502,0.0115601933197731,-0.7785233353446974,0.2082203000638627,0.0909090909090909,0.0009599057477365,-0.5573453340728233,0.1852616069036163,0.0181818181818181,0.0606060606060606,0.1333333333333333,0.0,0.0,0.0181818181818181,0.0727272727272727,0.1212121212121212,0.006060606060606,0.0,0.1636363636363636,0.0242424242424242,0.0242424242424242,0.0303030303030303,0.1878787878787878,0.1393939393939394,Rijkaard,Barcelona,LaLiga,barca
