name,team,primary_position,line,appearances,player_id,pca_x,pca_y,umap_x,umap_y
Zlatan Ibrahimović,Barcelona,Center Forward,FWD,20,3672,0.48743423090930976,-1.911906159850445,-10.804259,2.788751
Maxwell,Barcelona,Left Back,DEF,43,26613,0.7906344883261068,1.0852990516842358,-4.495512,-1.9609933
Dmytro Chygrynskiy,Barcelona,Left Center Back,DEF,10,18608,0.1300996172009184,3.7002922205703985,-8.778684,-2.9207652
Jeffrén,Barcelona,Right Wing,FWD,8,26624,0.4312242156808232,-1.6519381729055067,-10.551791,2.5739496
Ibrahim Afellay,Barcelona,Left Wing,FWD,6,4891,1.1859594241212401,0.24771493764055563,-11.041383,1.277872
Isaac Cuenca,Barcelona,Right Wing Back,DEF,10,26776,0.7245451617427336,-0.09147636516391175,-11.208202,1.8758054
Gerard Deulofeu,Barcelona,Right Midfield,MID,5,3726,2.5689650208369565,-0.7489948393376527,-10.66915,1.744729
Paulinho,Barcelona,Right Defensive Midfield,MID,20,5542,1.1338830464707665,0.8478595610311522,-10.322804,0.44844276
Christian Eriksen,Denmark,Left Center Midfield,MID,7,3043,2.5455498612814536,-0.8999299539027465,-8.937816,1.4292426
Kasper Schmeichel,Denmark,Goalkeeper,GK,7,3815,-5.4155209655702485,-1.2350341353020293,9.975237,7.268484
Andreas Christensen,Denmark,Left Center Back,DEF,7,3959,-0.27288192757298046,2.15979839813385,-7.6452312,-1.866989
Thomas Delaney,Denmark,Left Center Midfield,MID,5,5527,0.4333127538802041,0.4291504497291176,-8.740404,0.4670692
Simon Kjær,Denmark,Right Center Back,DEF,5,5534,-0.8027966557904405,1.709292384674109,-7.725714,-1.5807761
Ellyes Joris Skhiri,Tunisia,Right Defensive Midfield,MID,6,3767,0.3693054078041815,-0.013292916175247199,-8.205643,0.55587006
Yassine Meriah,Tunisia,Left Center Back,DEF,6,5651,-1.3476888828406504,0.4223344212663392,-7.186897,-1.3051584
Maya Yoshida,Japan,Right Center Back,DEF,8,3300,-1.0393650681440565,2.1142475512166303,-7.62923,-1.5491258
Yuto Nagatomo,Japan,Left Back,DEF,8,5690,-0.09858320377967507,-1.0538915656947807,-4.1834373,-0.9343326
Sergio Busquets,Spain,Center Defensive Midfield,MID,8,5203,1.740947419913899,2.4878607957119123,-9.77048,-1.2698836
Dušan Tadić,Serbia,Right Attacking Midfield,MID,6,3831,2.688271041385589,-3.317423579804668,-9.581427,3.675863
Aleksandar Mitrović,Serbia,Center Forward,FWD,6,4269,0.4913079317270661,-5.153598333940832,-10.286562,4.2474456
Sergej Milinković-Savić,Serbia,Left Attacking Midfield,MID,6,5589,1.3832298733791697,-1.542663872127017,-8.693924,1.5104991
Nikola Milenković,Serbia,Right Center Back,DEF,6,5603,-2.092795077546414,2.1467984512472666,-7.602227,-1.4472672
Granit Xhaka,Switzerland,Left Defensive Midfield,MID,8,3500,2.305027485297521,2.5354975899718113,-9.977567,-1.0540403
Xherdan Shaqiri,Switzerland,Right Wing,FWD,7,3533,2.080976726141566,-0.6893634336330421,-10.257025,1.637512
Fabian Schär,Switzerland,Right Center Back,DEF,5,5537,0.11692580934570594,2.2559519065604112,-8.931764,-2.2053444
Ricardo Rodríguez,Switzerland,Left Back,DEF,8,5544,0.990133620361059,0.6072552062861594,-4.268541,-1.7481914
Breel Embolo,Switzerland,Center Forward,FWD,5,5545,0.36508072424764143,-5.045006649628605,-10.494143,3.9764848
Manuel Akanji,Switzerland,Left Center Back,DEF,8,5549,0.8045378086551535,3.131071904192264,-8.840839,-2.873117
Mat Ryan,Australia,Goalkeeper,GK,7,3240,-4.897789677278868,0.8625713045193997,9.895698,7.413288
Aaron Mooy,Australia,Left Defensive Midfield,MID,7,3281,1.6874655403864605,0.2654473051396294,-8.33247,0.7559688
Aziz Behich,Australia,Left Back,DEF,7,5479,0.37976627255904893,-0.39396286248919116,-4.4413457,-1.0520583
Mathew Leckie,Australia,Right Midfield,MID,7,5481,0.4560378261782229,-3.1767178265787455,-9.686545,3.875006
Thiago Silva,Brazil,Right Center Back,DEF,9,3295,-0.889921267951873,2.828587508669784,-7.83661,-1.6717747
Neymar,Brazil,Left Wing,FWD,8,4320,1.6612651849158167,-1.6742434839212785,-10.301921,2.163042
Casemiro,Brazil,Center Defensive Midfield,MID,8,5539,0.6702016648510051,1.070515023354241,-8.642908,0.4348407
Alisson,Brazil,Goalkeeper,GK,9,5547,-6.820948340466789,-1.3194707233997278,10.329073,7.774482
Edson Álvarez,Mexico,Right Back,DEF,5,5567,0.3062093141855135,0.4876637733269183,-9.490438,1.0395479
Hirving Lozano,Mexico,Right Wing,FWD,7,5571,1.4271690045646626,-3.717950125389896,-10.131823,3.6842368
Héctor Moreno,Mexico,Left Center Back,DEF,6,5573,-0.6871646396802201,2.183133658605441,-7.1913486,-1.7930907
Jesús Gallardo,Mexico,Left Back,DEF,7,5576,-0.49116082238978104,-0.442302912253391,-4.3060007,-0.97650427
Guillermo Ochoa,Mexico,Goalkeeper,GK,7,5577,-6.566189493797973,0.7340225041631288,10.131697,8.066903
Salem Al Dawsari,Saudi Arabia,Left Midfield,MID,6,5187,0.8957975807672756,-0.961913451951798,-8.580162,1.2683638
Kyle Walker,England,Right Center Back,DEF,8,3205,0.6578103683855745,2.167734491704893,-8.669992,-1.8183688
John Stones,England,Center Back,DEF,12,3244,0.43921344827607317,2.889691723281747,-8.989243,-2.6489549
Harry Maguire,England,Left Center Back,DEF,11,3336,0.4115251048249629,1.940808311390867,-8.249346,-3.0541918
Luke Shaw,England,Left Back,DEF,5,3382,0.8149891394846626,0.29131084238024035,-4.283021,-1.7216651
Jordan Pickford,England,Goalkeeper,GK,12,3468,-4.841959201960816,-1.0744580170574949,10.000541,7.2820735
Jordan Henderson,England,Center Defensive Midfield,MID,8,3532,1.0516257408559038,0.3910015057136744,-9.736426,0.9962553
Declan Rice,England,Center Defensive Midfield,MID,5,3943,1.2923023717031572,1.5166853250822527,-9.131012,0.17548735
Harry Kane,England,Center Forward,FWD,11,10955,-0.13126533894146358,-3.936788619357766,-10.346234,3.8224556
Jude Bellingham,England,Left Center Midfield,MID,5,30714,1.8362422951920159,0.15700886942015554,-8.961857,0.99534076
Cristiano Ronaldo,Portugal,Left Center Forward,FWD,7,5207,1.7005647718698926,-1.561532445973424,-11.008555,2.5159812
Pepe,Portugal,Right Center Back,DEF,8,20016,0.26109751686657384,2.6357633207154634,-8.966687,-2.208805
Diogo Costa,Portugal,Goalkeeper,GK,5,32975,-5.885354230483845,1.3290422181070505,9.806758,7.984404
Son Heung-Min,South Korea,Left Wing,FWD,7,3083,2.546942202232686,-3.091863042297085,-9.751791,3.2525861
Kim Young-Gwon,South Korea,Left Center Back,DEF,7,5604,-1.1953779155675994,1.4935203196269378,-7.4775066,-2.0712774
Jung Woo-Young,South Korea,Right Defensive Midfield,MID,5,5618,2.029492365366766,2.127109742474119,-10.278887,-0.75984925
Lee Jae-Sung,South Korea,Center Attacking Midfield,MID,6,5623,1.1520118410154205,-0.4452625770796641,-8.626827,1.07624
Thomas Müller,Germany,Center Forward,FWD,5,5562,1.191532597037118,-2.7501257654986313,-10.53727,3.2817566
Manuel Neuer,Germany,Goalkeeper,GK,6,5570,-4.958046980331186,0.6451170913195047,9.908354,8.096931
Joshua Kimmich,Germany,Right Back,DEF,6,5579,2.980445275466624,1.255653042956411,-9.861611,-1.0996771
Jordi Alba,Spain,Left Back,DEF,7,5211,2.365232121755387,3.184676792584733,-4.5745387,-2.4139624
Ángel Di María,Argentina,Right Wing,FWD,7,2995,1.1802617516417273,-1.6091203944602295,-10.129247,2.3829782
Nicolás Otamendi,Argentina,Left Center Back,DEF,11,3090,0.6066665254947736,2.522309873852225,-9.006603,-2.6249754
Lionel Messi,Argentina,Right Center Forward,FWD,11,5503,1.3159125127885867,-0.9760921270610504,-10.458593,2.0560784
Emiliano Martínez,Argentina,Goalkeeper,GK,7,6909,-6.760970851791494,-0.43482066805223424,10.327693,7.865367
Rodrigo De Paul,Argentina,Right Center Midfield,MID,7,7797,1.20745571732644,1.0474407751892805,-10.250159,0.05679249
Marcos Acuña,Argentina,Left Back,DEF,5,19597,0.786241671043345,-1.5728307071789769,-4.381028,-0.84253764
Cristian Romero,Argentina,Right Center Back,DEF,6,20572,-0.7463716276531178,2.187766132301876,-8.064172,-1.7256657
Alexis MacAllister,Argentina,Left Center Midfield,MID,6,27886,0.4640608847259059,-0.6811971209980323,-10.158761,2.038812
Nahuel Molina,Argentina,Right Back,DEF,6,29201,0.2975658374648913,-0.14524103731651725,-6.1538815,2.5181372
Julián Álvarez,Argentina,Left Center Forward,FWD,5,29560,0.3042270964350889,-3.9497617789794783,-10.399675,3.5134432
Enzo Fernandez,Argentina,Center Defensive Midfield,MID,5,38718,1.8596929096126913,1.8477891553304835,-9.817005,-0.88755244
Kamil Glik,Poland,Right Center Back,DEF,5,3034,-2.4914323176260282,1.21163420874262,-7.3118253,-1.4112968
Grzegorz Krychowiak,Poland,Left Defensive Midfield,MID,7,3637,-0.07543582908254196,0.31491183694468766,-8.182463,0.288101
Piotr Zieliński,Poland,Right Midfield,MID,7,5660,1.3916297421813053,-0.9604998780080155,-8.5628805,1.1839343
Robert Lewandowski,Poland,Center Forward,FWD,7,5668,1.23738471333954,-3.3937915739607534,-9.905148,3.9041023
