match_id,season,date,n_nodes,n_edges,total_passes,density,weighted_clustering,aspl_weighted,aspl_unweighted,scc_size,strongly_connected,algebraic_connectivity,spectral_radius,windeg_mean,windeg_var,windeg_skew,windeg_gini,woutdeg_mean,woutdeg_var,woutdeg_skew,woutdeg_gini,betw_mean,betw_var,betw_skew,betw_gini,eig_mean,eig_var,eig_skew,eig_gini,pagerank_mean,pagerank_var,pagerank_skew,pagerank_gini,triad_003,triad_012,triad_102,triad_021D,triad_021U,triad_021C,triad_111D,triad_111U,triad_030T,triad_030C,triad_201,triad_120D,triad_120U,triad_120C,triad_210,triad_300
68317,2005/2006,2005-10-01,11,81,253,0.7363636363636363,0.21826133132284936,0.4153571428571428,1.2636363636363637,11,1,16.509808312665385,24.88714633344563,23.0,54.0,-0.922338730307246,0.17319439453826813,23.0,87.0909090909091,0.2858965590981855,0.22781171397772204,0.08181818181818182,0.007138557290072442,0.7028463878099298,0.5510662177328844,0.2866087535883509,0.00876451327562285,-0.22423235011422896,0.18457356884160392,0.09090909090909091,0.0006591192523621652,-0.9204283606158356,0.1476427438864345,0.0,0.0,0.11515151515151516,0.0,0.006060606060606061,0.006060606060606061,0.07878787878787878,0.06060606060606061,0.0,0.0,0.16363636363636364,0.012121212121212121,0.006060606060606061,0.024242424242424242,0.24242424242424243,0.28484848484848485
68318,2005/2006,2005-10-22,11,56,125,0.509090909090909,0.13474068921858476,0.7929292929292928,1.5363636363636364,11,1,3.1362286020874146,14.895622175035076,11.363636363636363,26.958677685950416,-0.04028864163355884,0.26036363636363635,11.363636363636363,57.14049586776859,0.9020314931328265,0.35636363636363644,0.09326599326599326,0.012004160573184146,1.2852421309733688,0.5874630784378081,0.2545926358812556,0.026091680664125285,0.5813908410298501,0.3493024400418574,0.09090909090909091,0.0010761991640395217,-0.3809787567197903,0.20084090296494672,0.06060606060606061,0.09696969696969697,0.19393939393939394,0.012121212121212121,0.0,0.04242424242424243,0.06666666666666667,0.07878787878787878,0.01818181818181818,0.0,0.18181818181818182,0.006060606060606061,0.024242424242424242,0.030303030303030304,0.12727272727272726,0.06060606060606061
69164,2005/2006,2005-10-26,11,79,225,0.7181818181818181,0.1361283293850611,0.44023809523809526,1.2818181818181817,11,1,16.307398497953475,22.687890998204946,20.454545454545453,51.52066115702478,0.19301528129226941,0.19717171717171733,20.454545454545453,65.70247933884296,0.5278791640422082,0.21737373737373744,0.09242424242424242,0.009300071421283543,0.9267658778985063,0.5573770491803283,0.2809453750568767,0.011978787143241786,1.0039150755513468,0.20417362204800127,0.09090909090909093,0.0006239924283434819,-0.5092837113273995,0.15300895820945715,0.0,0.048484848484848485,0.08484848484848485,0.0,0.0,0.0,0.024242424242424242,0.11515151515151516,0.0,0.0,0.1393939393939394,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.23030303030303031,0.26666666666666666
68339,2005/2006,2005-11-06,11,79,334,0.7181818181818181,0.15170910030223986,0.33896786294513565,1.2818181818181817,11,1,14.536883962570165,39.4564565705121,30.363636363636363,236.41322314049586,0.07093888446928735,0.2857920522591182,30.363636363636363,275.8677685950413,0.32425687270171827,0.3059335873707132,0.08787878787878789,0.012310988674625038,1.4607128775414011,0.626959247648903,0.25775204106707866,0.02447297623484591,0.2999243836081797,0.33484466106960675,0.09090909090909091,0.0012399965704984707,-0.14492686680222022,0.21956953473122964,0.0,0.01818181818181818,0.07878787878787878,0.0,0.0,0.03636363636363636,0.07878787878787878,0.06666666666666667,0.006060606060606061,0.0,0.1696969696969697,0.03636363636363636,0.01818181818181818,0.048484848484848485,0.1393939393939394,0.30303030303030304
68319,2005/2006,2005-11-19,11,74,195,0.6727272727272727,0.14814402486365216,0.5668804932441296,1.3272727272727274,11,1,7.290658432930765,20.121457558252075,17.727272727272727,76.01652892561984,0.06877098629403722,0.27692307692307705,17.727272727272727,52.56198347107438,-0.277141008028756,0.22750582750582748,0.09191919191919191,0.010018875624936231,0.9147178919102087,0.5814185814185817,0.2771332159588806,0.014106271521379367,-0.19593332218556925,0.2408803193222071,0.09090909090909091,0.0017495222627438459,0.3758321308725015,0.25595062035689153,0.0,0.024242424242424242,0.06666666666666667,0.006060606060606061,0.01818181818181818,0.048484848484848485,0.09090909090909091,0.09090909090909091,0.01818181818181818,0.006060606060606061,0.05454545454545454,0.06060606060606061,0.024242424242424242,0.05454545454545454,0.2787878787878788,0.15757575757575756
68354,2005/2006,2005-11-27,11,82,345,0.7454545454545455,0.20507141525991945,0.3468739341466614,1.2545454545454546,11,1,14.122700874947576,34.78143504426807,31.363636363636363,147.50413223140498,-0.6367890204403321,0.20447957839262187,31.363636363636363,152.41322314049586,0.1825551945587367,0.2202898550724639,0.07441077441077441,0.008842635105261367,1.2624507548824175,0.6359522830111064,0.2856909178538365,0.009289790364923382,-0.7560914763495836,0.1758743761698207,0.09090909090909091,0.0010668571405472143,-0.25730573927200684,0.19123608530326508,0.012121212121212121,0.012121212121212121,0.12727272727272726,0.006060606060606061,0.0,0.0,0.01818181818181818,0.06060606060606061,0.0,0.0,0.14545454545454545,0.012121212121212121,0.012121212121212121,0.024242424242424242,0.23636363636363636,0.3333333333333333
68320,2005/2006,2005-12-04,11,71,227,0.6454545454545455,0.13458165321205387,0.5056854256854257,1.3636363636363635,11,1,10.113685788511381,25.860867623707584,20.636363636363637,125.3223140495868,0.11977326535821355,0.3051661994393273,20.636363636363637,105.6859504132231,0.32872820243051887,0.27873448137765333,0.10656565656565657,0.013685848382818082,0.7638447206856952,0.5876777251184835,0.2668408041144065,0.01970507616866786,0.08942459594632861,0.2939713941398505,0.09090909090909093,0.0018029243805213384,0.10383489424799032,0.26361551687482243,0.0,0.012121212121212121,0.07878787878787878,0.012121212121212121,0.024242424242424242,0.030303030303030304,0.08484848484848485,0.12121212121212122,0.030303030303030304,0.01818181818181818,0.09090909090909091,0.03636363636363636,0.05454545454545454,0.09090909090909091,0.17575757575757575,0.1393939393939394
68321,2005/2006,2005-12-11,11,82,342,0.7454545454545455,0.12565138919420382,0.326262726074979,1.2545454545454546,11,1,18.177419418823646,36.465537186395295,31.09090909090909,164.6280991735537,-0.22108121961543845,0.2312599681020735,31.09090909090909,207.53719008264463,0.3074799518655431,0.2615629984051038,0.0882154882154882,0.009180865898037616,0.6417472590093568,0.5853573907009022,0.2732692125878434,0.01623302836071094,0.38254402174656854,0.26116138648841325,0.09090909090909093,0.0009570086346469797,-0.3370738824348995,0.1899333521076867,0.0,0.01818181818181818,0.09696969696969697,0.0,0.012121212121212121,0.01818181818181818,0.06060606060606061,0.024242424242424242,0.0,0.0,0.14545454545454545,0.012121212121212121,0.012121212121212121,0.03636363636363636,0.2606060606060606,0.30303030303030304
68322,2005/2006,2005-12-17,11,75,179,0.6818181818181818,0.16104010095462412,0.5475,1.3181818181818181,11,1,12.241922662369516,18.057181808638873,16.272727272727273,37.471074380165284,-0.008902811512135457,0.21432199085830383,16.272727272727273,32.92561983471075,-0.10949399795394718,0.19807008633824275,0.09309764309764311,0.008646396626194605,0.6771366603847067,0.5464409008712805,0.28297289662768355,0.010835430683229237,-0.015208050120302392,0.20821457792567144,0.09090909090909093,0.0008073133239057882,-0.05050831288778795,0.17816452849139264,0.0,0.012121212121212121,0.048484848484848485,0.01818181818181818,0.006060606060606061,0.04242424242424243,0.10909090909090909,0.10303030303030303,0.012121212121212121,0.006060606060606061,0.09090909090909091,0.024242424242424242,0.04242424242424243,0.08484848484848485,0.21212121212121213,0.18787878787878787
68323,2005/2006,2005-12-20,11,78,311,0.7090909090909091,0.18339951921588302,0.37651515151515147,1.290909090909091,11,1,10.436682253876024,32.092305617078466,28.272727272727273,151.1074380165289,-0.38767606305729363,0.24203449283835154,28.272727272727273,158.5619834710744,-0.4596043177560287,0.24612686349020763,0.0797979797979798,0.010057647178859298,1.032291945212826,0.6363636363636365,0.28028802950217546,0.012347711426878526,-0.5465495265092409,0.21914861434444544,0.09090909090909091,0.001221915756643469,-0.40724303305099785,0.21599201139185098,0.0,0.04242424242424243,0.07272727272727272,0.0,0.006060606060606061,0.01818181818181818,0.06666666666666667,0.09696969696969697,0.012121212121212121,0.0,0.12727272727272726,0.024242424242424242,0.01818181818181818,0.04242424242424243,0.19393939393939394,0.2787878787878788
