match_id,team,competition,date,coach,cluster,umap_x,umap_y,landmark
69145,Barcelona,LaLiga,2007-12-15 00:00:00,Rijkaard,1,8.729818,2.6880243,
69173,Barcelona,LaLiga,2008-01-20 00:00:00,Rijkaard,1,9.3478155,4.685424,
69181,Barcelona,LaLiga,2008-01-27 00:00:00,Rijkaard,1,8.363942,3.7671995,
69187,Barcelona,LaLiga,2008-02-03 00:00:00,Rijkaard,1,9.936227,5.083204,
69146,Barcelona,LaLiga,2008-02-09 00:00:00,Rijkaard,0,9.113339,4.706902,
69182,Barcelona,LaLiga,2008-02-16 00:00:00,Rijkaard,1,8.558377,2.154597,
68360,Barcelona,LaLiga,2008-02-24 00:00:00,Rijkaard,1,11.57423,4.7922997,
68365,Barcelona,LaLiga,2008-03-01 00:00:00,Rijkaard,1,9.175619,1.3222053,
68358,Barcelona,LaLiga,2008-04-12 00:00:00,Rijkaard,0,9.12726,4.6269255,
68359,Barcelona,LaLiga,2008-04-19 00:00:00,Rijkaard,1,9.639752,3.971772,
69141,Barcelona,LaLiga,2008-05-04 00:00:00,Rijkaard,1,10.887574,5.11579,
68361,Barcelona,LaLiga,2008-05-07 00:00:00,Rijkaard,0,7.1943064,5.9508443,
68366,Barcelona,LaLiga,2008-05-11 00:00:00,Rijkaard,1,10.701098,5.499263,
69186,Barcelona,LaLiga,2008-05-17 00:00:00,Rijkaard,1,11.4204235,3.3597004,
69147,Barcelona,LaLiga,2008-08-31 00:00:00,Guardiola,1,8.929548,1.8441606,
69215,Barcelona,LaLiga,2008-09-13 00:00:00,Guardiola,1,9.494773,2.8891702,
69138,Barcelona,LaLiga,2008-09-21 00:00:00,Guardiola,1,11.151445,4.8350363,
69207,Barcelona,LaLiga,2008-09-24 00:00:00,Guardiola,1,9.7259,5.312324,
69211,Barcelona,LaLiga,2008-09-27 00:00:00,Guardiola,0,7.698236,5.46436,
69212,Barcelona,LaLiga,2008-10-04 00:00:00,Guardiola,0,6.8503113,5.9085636,
69232,Barcelona,LaLiga,2008-10-25 00:00:00,Guardiola,1,10.725512,3.0456295,
69235,Barcelona,LaLiga,2008-11-01 00:00:00,Guardiola,0,7.1565714,6.444639,
69279,Barcelona,LaLiga,2008-11-08 00:00:00,Guardiola,0,9.568276,6.447384,
69285,Barcelona,LaLiga,2008-11-16 00:00:00,Guardiola,1,9.4671135,3.218035,
69171,Barcelona,LaLiga,2008-11-29 00:00:00,Guardiola,1,11.226477,3.7843049,
69149,Barcelona,LaLiga,2008-12-06 00:00:00,Guardiola,1,9.195869,2.1410317,
69225,Barcelona,LaLiga,2008-12-13 00:00:00,Guardiola,1,9.494379,5.1285143,
69228,Barcelona,LaLiga,2008-12-21 00:00:00,Guardiola,1,10.622503,2.8409317,
69230,Barcelona,LaLiga,2009-01-11 00:00:00,Guardiola,1,8.835378,2.7009118,
69183,Barcelona,LaLiga,2009-01-17 00:00:00,Guardiola,0,8.948307,6.6098456,
69189,Barcelona,LaLiga,2009-01-24 00:00:00,Guardiola,1,9.192132,2.2661955,
69209,Barcelona,LaLiga,2009-02-01 00:00:00,Guardiola,1,9.174865,1.2536517,
69231,Barcelona,LaLiga,2009-02-08 00:00:00,Guardiola,1,11.335107,4.093026,
69195,Barcelona,LaLiga,2009-02-14 00:00:00,Guardiola,0,6.663886,6.4437346,
69139,Barcelona,LaLiga,2009-02-21 00:00:00,Guardiola,0,7.940377,5.7171006,
69185,Barcelona,LaLiga,2009-03-01 00:00:00,Guardiola,1,10.22342,4.2522388,
69216,Barcelona,LaLiga,2009-03-07 00:00:00,Guardiola,1,8.658893,3.9144914,
69177,Barcelona,LaLiga,2009-03-15 00:00:00,Guardiola,1,12.335995,2.148508,
69142,Barcelona,LaLiga,2009-03-22 00:00:00,Guardiola,0,9.828551,5.7023053,
69273,Barcelona,LaLiga,2009-04-04 00:00:00,Guardiola,1,11.451036,4.538219,
69222,Barcelona,LaLiga,2009-04-11 00:00:00,Guardiola,1,10.909078,2.3462021,
69223,Barcelona,LaLiga,2009-04-18 00:00:00,Guardiola,1,11.313024,2.6973095,
69251,Barcelona,LaLiga,2009-04-25 00:00:00,Guardiola,1,7.7628827,3.4403093,
69249,Barcelona,LaLiga,2009-05-02 00:00:00,Guardiola,1,8.541078,1.9921412,
69217,Barcelona,LaLiga,2009-05-10 00:00:00,Guardiola,1,12.645247,4.14986,
69229,Barcelona,LaLiga,2009-09-12 00:00:00,Guardiola,1,10.427734,3.9737945,
69292,Barcelona,LaLiga,2009-09-19 00:00:00,Guardiola,1,10.302313,3.535427,
69254,Barcelona,LaLiga,2009-09-22 00:00:00,Guardiola,1,9.015392,1.558553,
