space,k,purity,random_baseline,lift
feature(raw),5,0.8826568265682656,0.2949714736999769,0.5876853528682887
feature(raw),10,0.8564575645756458,0.2949714736999769,0.5614860908756689
PCA-2D,5,0.6804428044280443,0.2949714736999769,0.3854713307280674
PCA-2D,10,0.6678966789667896,0.2949714736999769,0.3729252052668127
UMAP-2D,5,0.8649446494464944,0.2949714736999769,0.5699731757465175
UMAP-2D,10,0.8678966789667897,0.2949714736999769,0.5729252052668128
